text,label
"Only 2 items left in stock!",urgency
"Hurry, deal ends in 05:00 minutes.",urgency
"Limited time offer, grab it now.",urgency
"Almost sold out!",urgency
"Offer expires today.",urgency
"Last chance to buy at this price.",urgency
"Sale ends at midnight",urgency
"45 people are looking at this right now.",urgency
"Trending right now: 12 purchases in the last hour.",urgency
"High demand! Order soon.",urgency
"Jack from New York just bought this.",urgency
"This item is in high demand",urgency
"Only a few tickets left",urgency
"Flash sale ends soon",urgency
"Prices going up tomorrow",urgency
"Don't miss out, buy now",urgency
"Offer valid for the next 10 minutes",urgency
"Your cart will expire in 15 minutes",urgency
"Act fast before it's gone",urgency
"We can't guarantee this price for long",urgency
"Items in your cart are selling fast",urgency
"Final hours to save 50%",urgency
"Stock is running extremely low",urgency
"Secure yours before inventory runs out",urgency
"Over 500 people viewing this deal",urgency
"Selling fast! 3 left",urgency
"Promotion ends in 2 hours",urgency
"Last day for guaranteed shipping",urgency
"Order within 2 mins for next day delivery",urgency
"This price won't last",urgency
"Only available while supplies last",urgency
"Clearance sale: Everything must go today",urgency
"Only 5 rooms remaining at this price",urgency
"24 people booked this hotel today",urgency
"Hurry up! Special discount expiring",urgency
"Time is running out to claim your reward",urgency
"Limited edition, only 100 printed",urgency
"Once they are gone, they are gone forever",urgency
"Exclusive invite expires in 24 hours",urgency
"Grab it before somebody else does",urgency
"Lightning deal ending soon",urgency
"No thanks, I prefer to pay full price.",confirmshaming
"Skip this exclusive offer.",confirmshaming
"I don't want savings.",confirmshaming
"No, I don't care about my health.",confirmshaming
"No, I'd rather stay poor.",confirmshaming
"I don't want to grow my business.",confirmshaming
"No thanks, I hate saving money.",confirmshaming
"I prefer bad credit.",confirmshaming
"No, I am not interested in protecting my family.",confirmshaming
"I don't need expert advice.",confirmshaming
"No, I like missing out on great deals.",confirmshaming
"I am happy being overweight.",confirmshaming
"No thanks, I don't want to learn.",confirmshaming
"I prefer to be average.",confirmshaming
"No, I'd rather do things the hard way.",confirmshaming
"I'll pass, I have too much money already.",confirmshaming
"No thanks, I enjoy wasting time.",confirmshaming
"No, I don't want a free gift.",confirmshaming
"I don't want my website to succeed.",confirmshaming
"No thanks, I'm okay with slow internet.",confirmshaming
"No, I prefer paying extra fees.",confirmshaming
"I don't want to protect my privacy.",confirmshaming
"No, I'll take my chances.",confirmshaming
"I don't care about the environment.",confirmshaming
"No thanks, I want to remain ignorant.",confirmshaming
"I don't want to look younger.",confirmshaming
"No, I prefer feeling tired every day.",confirmshaming
"I don't want a better career.",confirmshaming
"No thanks, I hate free stuff.",confirmshaming
"No, I am not interested in being happy.",confirmshaming
"I don't want to secure my account.",confirmshaming
"No thanks, I prefer risking my data.",confirmshaming
"No, I want my dog to eat bad food.",confirmshaming
"I don't care about my child's education.",confirmshaming
"No, I'd rather pay $50 than get it free.",confirmshaming
"I decline this amazing opportunity.",confirmshaming
"No thanks, I don't like fun.",confirmshaming
"I'll stick to my boring life.",confirmshaming
"No, I don't want to join the cool kids.",confirmshaming
"I don't want to improve my skills.",confirmshaming
"Additional fees apply at checkout.",hidden_costs
"A small processing fee will be added.",hidden_costs
"Taxes and handling not included.",hidden_costs
"Service fee added to final bill.",hidden_costs
"Shipping costs calculated at checkout.",hidden_costs
"Mandatory resort fee applies per night.",hidden_costs
"Plus 15% booking fee.",hidden_costs
"Does not include installation charges.",hidden_costs
"Activation fee required.",hidden_costs
"Convenience fee will be charged.",hidden_costs
"Plus applicable taxes.",hidden_costs
"Equipment rental fee not included.",hidden_costs
"Delivery surcharge may apply.",hidden_costs
"Cleaning fee added to reservation.",hidden_costs
"Fuel surcharge added at final step.,hidden_costs
"Admin fee applies.",hidden_costs
"Subscription automatically renews at $99.",hidden_costs
"Extra charges for premium features.",hidden_costs
"Does not include local city taxes.",hidden_costs
"Hidden handling fee applied.",hidden_costs
"Oversize baggage fee applies.",hidden_costs
"Plus $10 monthly maintenance fee.",hidden_costs
"Mandatory gratuity added.",hidden_costs
"Does not include roaming charges.",hidden_costs
"Restocking fee if returned.",hidden_costs
"Toll fees charged separately.",hidden_costs
"Includes a non-refundable deposit.",hidden_costs
"Does not include the cost of materials.",hidden_costs
"Late payment fee applies.",hidden_costs
"Early cancellation fee of $50.",hidden_costs
"Plus a 3% credit card processing fee.",hidden_costs
"A $5 service charge is applied to all orders.",hidden_costs
"Taxes are excluded from the displayed price.",hidden_costs
"Additional cost for rush delivery.",hidden_costs
"Includes a mandatory insurance fee.",hidden_costs
"Prices do not include VAT.",hidden_costs
"Subject to a 10% surcharge on weekends.",hidden_costs
"Does not cover out-of-network costs.",hidden_costs
"A $2 convenience fee is added to online purchases.",hidden_costs
"Customs and import duties may apply.",hidden_costs
"You must agree to receive marketing emails to continue.",forced_action
"Sign up for our newsletter to view this article.",forced_action
"Create an account to check out.",forced_action
"Share with 5 friends to unlock your discount.",forced_action
"Please disable your ad-blocker to view this site.",forced_action
"You must download our app to read the rest of the story.",forced_action
"Provide your phone number to complete purchase.",forced_action
"Follow us on Instagram to enter the giveaway.",forced_action
"You must accept all cookies to use this site.",forced_action
"Subscribe to our premium plan to cancel your account.",forced_action
"Link your Facebook account to proceed.",forced_action
"You must leave a review before you can download.",forced_action
"Enter your credit card details for the free trial.",forced_action
"To see the price, please add the item to your cart.",forced_action
"You must refer a friend to activate your membership.",forced_action
"Upload your contacts to find friends.",forced_action
"You must agree to our terms and conditions to read the blog.",forced_action
"Sign in to see full-size images.",forced_action
"Please verify your identity with a photo ID to comment.",forced_action
"You must buy a minimum of 3 items to get the discount.",forced_action
"Subscribe to notifications to close this popup.",forced_action
"To unsubscribe, please call our customer service line.",forced_action
"You must opt-in to partner offers to get the free ebook.",forced_action
"Provide your mailing address to see digital content.",forced_action
"You must write a 50-word minimum review to post.",forced_action
"Connect your bank account to view your credit score.",forced_action
"You must agree to auto-renewal to finish setting up.",forced_action
"Install this extension to play the video.",forced_action
"You must watch this 30-second ad to proceed.",forced_action
"Complete this survey to view your results.",forced_action
"You must add a backup payment method.",forced_action
"Allow location access to search for products.",forced_action
"You must enable push notifications to log in.",forced_action
"Sign up for a 1-year commitment to get this rate.",forced_action
"You must upgrade your browser to use our basic site.",forced_action
"Input your SSN to create a forum profile.",forced_action
"You must have a premium account to delete your data.",forced_action
"Follow all our social media channels to get the code.",forced_action
"You must accept third-party tracking to buy this item.",forced_action
"Submit your email to reveal the final price.",forced_action
"Add to cart",safe
"Checkout securely",safe
"Read more about our terms of service.",safe
"Contact us for support.",safe
"Learn more about the product features.",safe
"Back to home page.",safe
"100% money back guarantee.",safe
"Sign in",safe
"Create an account",safe
"Forgot password?",safe
"View all products",safe
"Search our site",safe
"Customer reviews",safe
"Product description",safe
"Specifications",safe
"Shipping information",safe
"Return policy",safe
"Frequently asked questions",safe
"About us",safe
"Careers",safe
"Privacy policy",safe
"Terms and conditions",safe
"Accessibility statement",safe
"Site map",safe
"Store locator",safe
"Contact information",safe
"Track your order",safe
"Help center",safe
"Blog",safe
"Press releases",safe
"Investor relations",safe
"Affiliate program",safe
"Gift cards",safe
"Wishlist",safe
"Size guide",safe
"Care instructions",safe
"Warranty information",safe
"Download manual",safe
"Customer service",safe
"Subscribe to newsletter (optional)",safe
"Opt-out of marketing emails",safe
"Total price: $49.99 (includes all fees and taxes)",safe
"This item is currently in stock",safe
"Standard shipping is $5.00",safe
"Cancel your subscription anytime online",safe
"We respect your privacy",safe
